user_id,name,age,interests
1,Kelly Reed,33,"COOKING,TRAVELLING,RUN,KARAOKE,SWIMMING,YOGA,ART"
2,Julie Bryant,37,DRINK
3,Jacob Johnson,32,"KARAOKE,ART"
4,Mr. Thomas Wilson,37,"ART,YOGA,DRINK,MUSIC,SWIMMING,TRAVELLING"
5,Tina Martinez,27,"COOKING,VIDEO_GAMES"
6,Megan Jackson,32,"TRAVELLING,ART"
7,Kimberly Hester,18,"VIDEO_GAMES,DRINK,YOGA"
8,Joel Henderson,40,"SHOPPING,VIDEO_GAMES,TENNIS,ART,YOGA,SWIMMING,RUN,PHOTOGRAPHY,MUSIC"
9,Samuel Townsend,30,"YOGA,EXTREME,SWIMMING,MUSIC,TRAVELLING,KARAOKE,DRINK"
10,Jose Green,26,RUN
11,Renee Collins,37,"YOGA,SHOPPING,TRAVELLING,COOKING"
12,Carla Williams,23,"TENNIS,MUSIC,KARAOKE"
13,Tiffany Rosales,34,"TRAVELLING,KARAOKE,ART,PHOTOGRAPHY,MUSIC,COOKING,EXTREME,YOGA,DRINK"
14,Jennifer Davis,38,"VIDEO_GAMES,COOKING,RUN"
15,Joseph Young,27,"VIDEO_GAMES,MUSIC,RUN,PHOTOGRAPHY,COOKING"
16,Elizabeth White,19,"ART,RUN,SWIMMING,SHOPPING,TENNIS"
17,Todd Marshall,33,"KARAOKE,RUN,TRAVELLING,DRINK,VIDEO_GAMES,ART,SHOPPING,YOGA,PHOTOGRAPHY"
18,Robert Michael,18,"MUSIC,KARAOKE,YOGA,SWIMMING,VIDEO_GAMES,TENNIS,COOKING"
19,Alexis Greene,25,"MUSIC,RUN,PHOTOGRAPHY,SWIMMING,EXTREME,YOGA"
20,Cynthia Smith,32,"EXTREME,TENNIS,YOGA,TRAVELLING,MUSIC,SHOPPING"
21,Ryan Bowers,22,"KARAOKE,VIDEO_GAMES,ART,PHOTOGRAPHY,COOKING,TRAVELLING"
22,Ashley Black,25,"KARAOKE,MUSIC,YOGA,EXTREME,PHOTOGRAPHY,SHOPPING,ART,VIDEO_GAMES"
23,Whitney Butler,20,"ART,VIDEO_GAMES"
24,Maria Gill,27,"YOGA,KARAOKE,TENNIS,EXTREME,ART,SWIMMING"
25,Amy Thompson,27,"DRINK,TRAVELLING,RUN,PHOTOGRAPHY,VIDEO_GAMES,MUSIC,ART,TENNIS,KARAOKE,SHOPPING"
26,Jonathan Osborne,37,"KARAOKE,SWIMMING"
27,Brianna Figueroa,36,"PHOTOGRAPHY,KARAOKE,TENNIS,DRINK,TRAVELLING,COOKING,ART,SWIMMING,YOGA"
28,Anthony Kelley,20,RUN
29,Amy Dougherty,39,"KARAOKE,PHOTOGRAPHY,MUSIC,ART,SWIMMING,TENNIS,TRAVELLING,YOGA,SHOPPING"
30,Alice Stein,27,"TRAVELLING,RUN"
31,Karen Park,32,"YOGA,DRINK,PHOTOGRAPHY,SWIMMING,SHOPPING"
32,Joy Foster,31,"SWIMMING,ART,RUN,COOKING,YOGA,PHOTOGRAPHY"
33,Cindy Page,30,"SHOPPING,EXTREME,MUSIC,PHOTOGRAPHY,TENNIS,KARAOKE,VIDEO_GAMES"
34,Wesley Dudley,31,"TRAVELLING,VIDEO_GAMES,KARAOKE,ART,EXTREME,COOKING,PHOTOGRAPHY,SHOPPING,SWIMMING,TENNIS"
35,Jason Ford,30,"SHOPPING,EXTREME,TRAVELLING,ART,DRINK,VIDEO_GAMES,RUN,KARAOKE,SWIMMING"
36,Anthony Green,31,"TENNIS,RUN,VIDEO_GAMES,TRAVELLING,KARAOKE,COOKING"
37,Mr. Danny Li DDS,37,"COOKING,ART,MUSIC,PHOTOGRAPHY,YOGA,SWIMMING,TRAVELLING,KARAOKE,VIDEO_GAMES"
38,Morgan Anderson,30,"TRAVELLING,ART,RUN,PHOTOGRAPHY,MUSIC,KARAOKE"
39,Brian Nguyen,24,"DRINK,TRAVELLING"
40,Chad Kelly,25,"SWIMMING,TRAVELLING,PHOTOGRAPHY,VIDEO_GAMES"
41,Brittney Day,29,"PHOTOGRAPHY,SWIMMING,SHOPPING,COOKING,TRAVELLING,EXTREME,KARAOKE,MUSIC"
42,David Morgan,24,RUN
43,Ricky Evans,26,"DRINK,RUN,TRAVELLING"
44,Charles Newman,19,DRINK
45,Bruce Graves,18,"TENNIS,VIDEO_GAMES,MUSIC,DRINK"
46,Dennis Jones,38,"SWIMMING,KARAOKE,PHOTOGRAPHY,SHOPPING,ART,TENNIS,TRAVELLING,VIDEO_GAMES,DRINK,MUSIC"
47,Jose White,23,"RUN,VIDEO_GAMES,KARAOKE,EXTREME,PHOTOGRAPHY,SWIMMING,MUSIC,SHOPPING"
48,Daniel Ibarra,37,"KARAOKE,EXTREME,SHOPPING,TRAVELLING,MUSIC,RUN"
49,Holly Brown,27,"TRAVELLING,PHOTOGRAPHY,SWIMMING,ART,KARAOKE,RUN,DRINK,MUSIC,TENNIS"
50,Jenny Contreras,21,SWIMMING
51,Tracey Osborne,27,"RUN,COOKING,ART,VIDEO_GAMES,MUSIC,SHOPPING,TENNIS,DRINK,EXTREME,KARAOKE"
52,Colleen Rivera,18,"RUN,PHOTOGRAPHY,COOKING"
53,Kelsey Sims,30,"RUN,YOGA,EXTREME,KARAOKE,DRINK"
54,Samuel Mayer,33,"MUSIC,VIDEO_GAMES,RUN"
55,Katrina Matthews,37,"TENNIS,YOGA,ART,SHOPPING"
56,Brandon Andrade,27,"SHOPPING,KARAOKE,SWIMMING,COOKING,TRAVELLING,MUSIC,YOGA,RUN,TENNIS,EXTREME"
57,Samantha Santiago,36,"ART,SWIMMING,YOGA,VIDEO_GAMES,TENNIS,KARAOKE,RUN,MUSIC,SHOPPING"
58,Christopher Potts,36,"RUN,COOKING,VIDEO_GAMES,ART,PHOTOGRAPHY,SHOPPING,TRAVELLING"
59,William Smith,24,"RUN,SWIMMING,VIDEO_GAMES,TENNIS,ART,YOGA"
60,Tammy Diaz,23,"YOGA,TENNIS,PHOTOGRAPHY"
61,Mikayla Blair,38,"MUSIC,TENNIS,TRAVELLING,KARAOKE,EXTREME,ART,SHOPPING"
62,Catherine Martin,24,VIDEO_GAMES
63,Kenneth Mccarty PhD,29,"MUSIC,SWIMMING,TRAVELLING,YOGA,ART,DRINK,EXTREME"
64,Jeremy Evans,25,"COOKING,SHOPPING,ART,YOGA,VIDEO_GAMES,EXTREME,TRAVELLING,TENNIS,SWIMMING,PHOTOGRAPHY"
65,David Mcintyre,22,PHOTOGRAPHY
66,Brian Lozano,35,"MUSIC,RUN,ART,SHOPPING,VIDEO_GAMES,KARAOKE,TENNIS,SWIMMING,DRINK,COOKING"
67,Patty Hoffman,21,"TENNIS,SHOPPING,VIDEO_GAMES,SWIMMING,PHOTOGRAPHY,RUN,YOGA"
68,Stephen Williams MD,36,"PHOTOGRAPHY,MUSIC,SHOPPING,RUN,VIDEO_GAMES,DRINK"
69,Kelly Hull,25,"DRINK,ART,VIDEO_GAMES,TRAVELLING,KARAOKE,SHOPPING,PHOTOGRAPHY,EXTREME,RUN"
70,Mary Pena,40,"PHOTOGRAPHY,MUSIC"
71,Sandra Hanna,24,SWIMMING
72,Brett Walls,22,"COOKING,ART,RUN,VIDEO_GAMES,TRAVELLING,MUSIC,EXTREME,TENNIS,SWIMMING"
73,Karen Moore,26,VIDEO_GAMES
74,Alec Harris,30,"PHOTOGRAPHY,KARAOKE,RUN,YOGA,COOKING,DRINK,SWIMMING,MUSIC"
75,Rebecca Rodriguez,28,"DRINK,MUSIC,VIDEO_GAMES,TRAVELLING"
76,Melissa Chandler,23,"DRINK,EXTREME"
77,Mary Miller,39,"SHOPPING,SWIMMING,YOGA,COOKING,ART,PHOTOGRAPHY"
78,Joseph Parsons,40,"EXTREME,RUN,VIDEO_GAMES,TENNIS"
79,David Holden,35,"TENNIS,RUN,MUSIC,SWIMMING,ART,YOGA,DRINK"
80,Sara Hendrix,40,"TRAVELLING,SWIMMING,RUN,PHOTOGRAPHY,MUSIC,YOGA,KARAOKE,DRINK,COOKING"
81,Jacqueline Sanders,25,"MUSIC,KARAOKE,PHOTOGRAPHY"
